objectId,clusterId,area,perimeter,compactness,meanB1,stdB1,meanB2,stdB2,meanB3,stdB3,meanB4,stdB4,meanB5,stdB5,meanB6,stdB6
57,1,127,45.0711,15.9953,0.066274,0.00131156,0.073658,0.00185959,0.0683136,0.00284216,0.0642222,0.00222516,0.379558,0.0189108,0.571611,0.00426153
58,1,670,129.456,25.0132,0.0630429,0.00126309,0.0677547,0.00148646,0.0574772,0.0014588,0.0658239,0.001225,0.33235,0.038548,0.60949,0.0401903
59,1,171,86.4853,43.741,0.0640898,0.00123983,0.0685151,0.00137873,0.0578281,0.00125673,0.0663771,0.00107103,0.374751,0.0207209,0.626442,0.0615786
60,1,3884,475.907,58.3129,0.0659422,0.00109127,0.070954,0.00110309,0.058743,0.00108796,0.067966,0.00118012,0.335772,0.0413193,0.635558,0.0759335
61,1,457,170.627,63.7062,0.0654686,0.00127712,0.070522,0.00119796,0.0584535,0.00112314,0.0677593,0.00124011,0.378367,0.0181063,0.645529,0.025766
62,1,61813,5154.91,429.895,0.0650974,0.00126212,0.0699806,0.00141548,0.0584248,0.00124136,0.0675983,0.00144418,0.314023,0.0431768,0.603812,0.0506712
63,1,250,129.071,66.6374,0.0644838,0.00217016,0.0682088,0.00382596,0.0570765,0.00172683,0.0661931,0.0037603,0.365161,0.0274864,0.617135,0.0296306
64,1,4231,664.492,104.361,0.0715442,0.00532451,0.0736722,0.00531587,0.0586494,0.00506128,0.0705969,0.00586012,0.331139,0.0357887,0.605673,0.0471607
65,1,56,26.2426,12.2978,0.0637235,0.000889643,0.0630537,0.000871072,0.0606367,0.00108629,0.0593366,0.000976178,0.365686,0.01799,0.500603,0.0123983
66,1,1185,250.77,53.0678,0.0682155,0.00140243,0.0741558,0.0018782,0.0612096,0.00139055,0.070665,0.00205065,0.356697,0.0348997,0.614671,0.0405391
67,1,53,25.6569,12.4203,0.0748486,0.00391149,0.0807707,0.00369863,0.0644075,0.00239601,0.0743484,0.0031081,0.391417,0.0128618,0.509434,0.00660717
68,1,377,137.799,50.3675,0.0625521,0.000954876,0.0660557,0.000977515,0.0574962,0.000904164,0.0648373,0.000978875,0.311042,0.0313501,0.700803,0.0473884
69,1,128,65.6569,33.6783,0.0708075,0.00906743,0.0729363,0.00662647,0.0621329,0.00500963,0.0669006,0.00479552,0.383946,0.0147421,0.621358,0.0205395
70,1,353,123.213,43.0071,0.0660963,0.0137562,0.0657549,0.0150658,0.0621313,0.014995,0.0611127,0.0128881,0.378915,0.0174792,0.688328,0.0110684
71,1,65,27.6569,11.7677,0.0606709,0.00110145,0.061208,0.00142078,0.056572,0.0013795,0.0557432,0.00130367,0.383469,0.0126372,0.658108,0.00351592
72,1,129,67.6569,35.4841,0.0625197,0.0024477,0.066847,0.00275641,0.0579166,0.00134057,0.0652631,0.002919,0.367381,0.0209738,0.609679,0.0447364
73,1,81,46.8284,27.0729,0.0652073,0.000872052,0.0701555,0.000781188,0.0583803,0.00086906,0.0687528,0.000815785,0.374728,0.0152069,0.660577,0.00745263
74,1,50,26,13.52,0.0926138,0.00153016,0.0942915,0.00221015,0.0883973,0.0016331,0.0833652,0.00168328,0.368,0.026474,0.63473,0.0153728
75,1,1625,290.569,51.957,0.0634917,0.00116249,0.0685513,0.00169825,0.0586426,0.00118207,0.0653885,0.00142534,0.34531,0.0392141,0.538266,0.0180549
76,1,171,97.4142,55.4943,0.0642084,0.00184027,0.0671052,0.00400271,0.0577854,0.00114744,0.0646823,0.0045581,0.360211,0.0306054,0.639758,0.0334341
77,1,122,40.4853,13.4349,0.0847652,0.00136257,0.0873825,0.00182312,0.082791,0.0017974,0.078824,0.00145551,0.378431,0.0236696,0.508086,0.00772036
